,latitude,location,longitude,name,station_id,status,zipcode
0,30.27041,(30.27041 -97.75046),-97.75046,West & 6th St.,2537,active,78701
1,30.26452,(30.26452 -97.7712),-97.7712,Barton Springs Pool,2572,active,78746
2,30.27595,(30.27595 -97.74739),-97.74739,ACC - Rio Grande & 12th,2545,closed,78701
3,30.2848,(30.2848 -97.72756),-97.72756,Red River & LBJ Library,1004,closed,78705
4,30.26694,(30.26694 -97.74939),-97.74939,Nueces @ 3rd,1008,moved,78701
5,30.267509999999998,(30.26751 -97.74802),-97.74802,Republic Square,2500,moved,78701
6,30.24891,(30.24891 -97.75019),-97.75019,South Congress & Elizabeth,2504,active,78704
7,30.264609999999998,(30.26461 -97.73049),-97.73049,Waller & 6th St.,2536,closed,78702
8,30.26217,(30.26217 -97.72743),-97.72743,Plaza Saltillo,2542,active,78702
9,30.285759999999996,(30.28576 -97.74181),-97.74181,UT West Mall @ Guadalupe,2548,active,78701
10,30.273359999999997,(30.27336 -97.73805),-97.73805,State Capitol Visitors Garage @ San Jacinto & 12th,2561,active,78701
11,30.26735,(30.26735 -97.73933),-97.73933000000001,Trinity & 6th Street,2565,active,78701
12,30.26717,(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active,78703
13,30.26854,(30.26854 -97.73646),-97.73646,Red River & 8th Street,2571,active,78751
14,30.258020000000002,(30.25802 -97.7391),-97.7391,Rainey @ River St,2576,closed,78701
15,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,78701
16,30.269109999999998,(30.26911 -97.7462),-97.7462,Guadalupe & 6th,3294,active,78701
17,30.274659999999997,(30.27466 -97.77028),-97.77028,MoPac Pedestrian Bridge @ Veterans Drive,3377,active,78703
18,30.258390000000002,(30.25839 -97.74592),-97.74592,South Congress & Barton Springs at the Austin American-Statesman,3513,active,78704
19,30.26697,(30.26697 -97.74929),-97.74929,Nueces & 3rd,3621,active,78701
20,30.26332,(30.26332 -97.74508),-97.74508,Congress & Cesar Chavez,3684,active,78746
21,30.272170000000003,(30.27217 -97.75246),-97.75246,Henderson & 9th,3685,active,78701
22,30.264059999999997,(30.26406 -97.76385),-97.76385,Sterzing at Barton Springs,3686,active,78704
23,30.27907,(30.27907 -97.73715),-97.73715,State Parking Garage @ Brazos & 18th,1005,closed,78701
24,30.25103,(30.25103 -97.74926),-97.74925999999999,South Congress & James,2503,active,78745
